# x86 / Windows reference measurements for "Four Ways to Wait" (EduHPC-2026 short paper).
# Companion to reference_results.csv (Apple M1). Same schema; append or keep separate.
# Device: Intel Core Ultra 7 265 "Arrow Lake-S" (Family 6 Model 198 Stepping 2),
#         20 physical cores / 20 logical processors, THREADS PER CORE = 1 (no SMT --
#         the Core Ultra 200S generation has no Hyper-Threading to disable),
#         hybrid: 8 P-cores (base 2400 MHz) + 12 E-cores (base 1800 MHz),
#         16 GB, Windows 11 Enterprise 10.0.26200, desktop on AC,
#         power mode Ultimate Performance.
# Toolchain: portable WinLibs MinGW-w64 GCC 16.1.0 (UCRT, POSIX threads),
#            gcc -O2 -pthread -static. No WSL available on this machine.
# Timings are wall clock, CLOCK_MONOTONIC. Harnesses discard a warm-up pass and
# report best-of-three unless noted. Measured 30 July 2026.
#
# CAUTION: absolute compute times are NOT comparable to the M1 rows -- different
# compiler on a serial FP dependency chain. Ratios are within-machine and are safe.
#
# CPU numbering is not P-cores-first:
#   P-cores = CPUs 0,1,6,7,8,9,18,19    E-cores = CPUs 2,3,4,5,10,11,12,13,14,15,16,17
lab,workload,threads,metric,value,unit,note
0,topology,,physical_cores,20,cores,GetLogicalProcessorInformationEx RelationProcessorCore
0,topology,,logical_processors,20,threads,navigator.hardwareConcurrency agrees: 20
0,topology,,threads_per_core,1,threads,LTP_PC_SMT flag clear on all 20 core records
0,topology,,p_cores,8,cores,EfficiencyClass 1; base 2400 MHz
0,topology,,e_cores,12,cores,EfficiencyClass 0; base 1800 MHz
0,topology,,pe_clock_ratio,1.43,x,serial integer-multiply chain; P 1290-1320 vs E 900-916 Mops
0,topology,,pe_fp_ratio,0.98,x,serial FP chain does NOT separate the classes
4,scaling_compute,1,time,0.176,s,unpinned; single-thread turbo ~5.2 GHz
4,scaling_compute,2,speedup,1.99,x,efficiency 99%
4,scaling_compute,4,speedup,3.82,x,efficiency 95%
4,scaling_compute,8,speedup,7.30,x,efficiency 91%
4,scaling_compute,16,speedup,9.95,x,efficiency 62%
4,scaling_compute,20,speedup,14.87,x,efficiency 74%; PEAK -- one thread per physical core
4,scaling_compute,21,speedup,9.76,x,efficiency 46%; abrupt oversubscription cliff
4,scaling_compute,32,speedup,12.21,x,efficiency 38%; never recovers past 20
4,scaling_compute,20,speedup_run2,15.35,x,repeat run; peak again at 20 threads
4,scaling_memory,1,bandwidth,18.4,GB/s,512 MiB streaming reduction
4,scaling_memory,8,bandwidth,51.4,GB/s,
4,scaling_memory,16,bandwidth,79.2,GB/s,
4,scaling_memory,19,bandwidth,82.0,GB/s,PEAK; effectively saturated from ~16 threads
4,scaling_memory,32,bandwidth,81.6,GB/s,
4,scaling_bend,,bend_thread_count,20,threads,equals BOTH the physical and logical count -- they are the same here
4,scaling_compute_long,20,speedup,14.94,x,COMPUTE_ITERS x10 diagnostic; confirms the bend at 20 is real
4,scaling_compute_long,1,time,1.743,s,COMPUTE_ITERS 4000M instead of 400M; memory kernel unchanged
4,smt_4t_4cores,4,time,0.046,s,pinned CPUs 0/1/6/7 mask 0xC3; speedup 3.84x eff 96%; 40.1 GB/s
4,smt_4t_2cores,4,time,0.089,s,pinned CPUs 0/1 mask 0x3; speedup 2.00x eff 50%; 26.9 GB/s
4,smt_ratio,4,ratio,1.93,x,"THE CONTROLLED MEASUREMENT: 2-core time / 4-core time. 2.0 = second thread on a core adds nothing. No SMT on this CPU, so 1.93 is the no-SMT endpoint, not an SMT cost."
4,pcore_compute,1,time,0.176,s,pinned CPU 0
4,ecore_compute,1,time,0.177,s,pinned CPU 2; ratio 0.99 of a P-core (M1: 0.50)
4,pcore_memory,1,bandwidth,17.7,GB/s,pinned CPU 0
4,ecore_memory,1,bandwidth,18.0,GB/s,pinned CPU 2; ratio 1.02 (M1: 0.18)
4,pcore_compute_4t,4,time,0.046,s,4 P-cores mask 0xC3; speedup 3.84x
4,ecore_compute_4t,4,time,0.044,s,4 E-cores mask 0x3C; speedup 4.01x; E-cores 4% FASTER
4,pcore_compute_8t,8,time,0.026,s,all 8 P-cores mask 0xC03C3; speedup 6.67x eff 83%; 52.1 GB/s
4,ecore_compute_8t,8,time,0.023,s,8 E-cores mask 0x3C3C; speedup 7.62x eff 95%; 54.2 GB/s
4,ecore_ratio_8t,8,ratio,1.13,x,"8 E-cores beat 8 P-cores on this kernel. The 'half the cores are small ones' story does not hold for scaling.c's compute kernel on this chip: at -O2 GCC emits a scalar single-accumulator mulsd/addsd chain, so throughput is FP-add latency bound and blind to core width."
4,scaling_browser,16,speedup,14.10,x,"Edge 148 file:// ; sweep capped at min(2*HC,16)=16 < 20 cores so it never reaches the bend"
4,scaling_browser,1,time,247,ms,baseline inflated by JIT/turbo -- 2-4 workers report 108-111% efficiency
4,scaling_browser,8,speedup,7.78,x,efficiency 97%
1,taskgraph,,work_T1,5.20,s,sum of all ten task durations
1,taskgraph,,span_Tinf,2.75,s,checkout->compile_a->link->unit_test->package
