threads,compute_s,compute_speedup,compute_eff,memory_GBs,memory_speedup,memory_eff
1,0.378,1.00,1.00,8.3,1.00,1.00
2,0.196,1.93,0.97,16.3,1.96,0.98
3,0.135,2.79,0.93,23.6,2.83,0.94
4,0.101,3.73,0.93,31.2,3.74,0.93
5,0.090,4.21,0.84,35.5,4.25,0.85
6,0.088,4.32,0.72,39.1,4.69,0.78
7,0.073,5.15,0.74,42.5,5.10,0.73
8,0.069,5.45,0.68,45.1,5.41,0.68
9,0.070,5.38,0.60,45.7,5.48,0.61
10,0.073,5.20,0.52,46.7,5.60,0.56
11,0.069,5.51,0.50,46.4,5.57,0.51
12,0.071,5.34,0.44,47.5,5.69,0.47
13,0.070,5.42,0.42,47.1,5.64,0.43
14,0.068,5.53,0.39,45.7,5.47,0.39
15,0.071,5.31,0.35,46.3,5.55,0.37
16,0.068,5.53,0.35,46.1,5.53,0.35
